Text,NER,Translation
sila4,ANIM,lamb
udu-niga,ANIM,barely-fed sheep
masz2,ANIM,kid goat
masz2-gal niga,ANIM,barely-fed goat
gu4,ANIM,common ox
masz-da3,ANIM,gazelle
lulim,ANIM,deer
szeg9-bar,ANIM,fallow deer
ansze-edin-na,ANIM,onager
dur3,ANIM,male donkey
eme6,ANIM,female donkey
{ansze}kunga2,ANIM,mule
{ansze}si2-si2,ANIM,horse
az,ANIM,bear
ha-bu-um,ANIM,habum-animal
am,ANIM,wild ox
gu4 gun3-a,ANIM,spotted ox
udu a-lum,ANIM,long-fleeced sheep
gukkal,ANIM,fat-tailed sheep
udu LU2-SU,ANIM,Šimaškian sheep
udu lu2-u18-um,ANIM,Lullubean sheep
udu gur4-gur4,ANIM,pot-bellied sheep
udu hur-sag,ANIM,wild sheep
udu babbar2,ANIM,white sheep
udu gun3-a,ANIM,spotted sheep
masz2-gal LU2-SU,ANIM,Šimaškian goat
masz2-gal a-dara4,ANIM,wild goat
masz2-gal babbar2,ANIM,white goat
masz2-gal su4,ANIM,red goat
masz2-gal gun3-a,ANIM,spotted goat
