Text,NER
mar-tu,EN
elam,EN
mar-tu,EN
elam,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
elam,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
elam,EN
mar-tu,EN
elam,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
mar-tu,EN
