Text,NER
du6-kar-sag,FN
ezem-SAR,FN
{d}en-lil2-la2-igi-bar,FN
dal-ba-na-sag-erin-du8,FN
durux(U3),FN
ki-{d}szara2,FN
HAR-ma-KA,FN
{gesz}x-...,FN
sur3-mun-na,FN
la2-mah-ma,FN
gesz-gu2-i7,FN
e2-{d}inanna,FN
ur-e2-an-na-ka,FN
GAN2-gu-la,FN
lu2-x-da,FN
lugal-si4,FN
GAN2-{gesz}asal2,FN
su3-bi-an-na,FN
e2-bar,FN
a-ad-da,FN
igi-e2-duru5-elam-e-ne,FN
gu4-suhub2,FN
masz-gan2,FN
lugal-ab2-ga-gal2,FN
gaba-sza3-{d}en-lil2-la2-ka,FN
nag-esir2,FN
du6-ka,FN
a-ba-gal-sag-an-na,FN
nin-ab-sin2,FN
ul4-ul4-e-e2-babbar2,FN
{gesz}kiri6-su-gur8,FN
edin-{d}amar-{d}suen-gin7-du10,FN
{gesz}asal2,FN
u2-du-mu-ul-li,FN
zabala2{ki},FN
GAN2-ku3,FN
lugal-iri-da,FN
{dingir}pi-li-ha,FN
a-gara2,FN
a-ka-...,FN
x-i3-GAN2-na-ka,FN
mah-gu2-i7-na-ra-am-sza,FN
igi-un-sa6-ga,FN
ub-szu-i-ne,FN
elam-gar,FN
inim-ni-zi-da,FN
sur3-ad6,FN
e-{gesz}ge6-par4,FN
esz3-didli-ma-da,FN
a-ka-sahar-tur,FN
{d}szara2-muru13,FN
ka-ma-ri2,FN
{d}amar-{d}suen-ki-ag2-{d}nin-gir2-su-ka,FN
e2-gibil4-le,FN
ama-ra-ki-ag2-hu-rim3{ki}-x,FN
gaba-nigin9-dara3,FN
e2-lugal,FN
e-e2-a-gar,FN
a-sza3-igi-du8,FN
da-da,FN
{d}nin-mar{ki}-palil,FN
kar-ra-hu-um-ma,FN
kar2-babbar,FN
{gesz}balag,FN
ka-ma-ri2{ki}-ka,FN
u3-{d}nanna-gu2-gal,FN
SZE3-zi,FN
gig-dar,FN
du6-{d}ur3-bar-tab,FN
e-gu3-de2-a,FN
SIG7-a,FN
sipa-da-ka,FN
sa6-du3-a,FN
ur-mes,FN
su-szim,FN
di-...,FN
lu2-giri17-zal,FN
ambar-es3-sa2-{d}nin-dar-a,FN
nin-asz2-gar3-zi,FN
gi-apin-ku5-a,FN
GIN2-masz-lu,FN
u3-i7-nun,FN
ansze-gu4-gid2-da,FN
durux(U3)-{d}nanna-gu2-gal,FN
gesz-gi-banda3{da},FN
ur-{d}en-sig-nun,FN
ki-ag2,FN
szu-nu-du6,FN
ambar-es3-sa2-{d}dumu-zi,FN
ur-{d}nin-mug-ga-lukur-U,FN
ur-sukkal,FN
