Text,NER
umma{ki}-ka,GN
hu-rim3-ma,GN
sag-te-na,GN
kisz-ka3-ti{ki},GN
za-tum{ki},GN
e2-a-da{ki},GN
am3-ri2-ma{ki},GN
szi-ma-asz-gi4{ki},GN
a-ambar{ki},GN
szu-un-ti{ki},GN
szuszin,GN
szuruppak(|SU.RU.KUR|){ki},GN
KA-AN{ki},GN
a-pi4-sal4-musz-bi-edin-na,GN
giri17-tab{ki},GN
ki-es3-sa2{ki},GN
|PU3.SZA|-isz-{d}da-gan,GN
ti-ki-ti-in-hi{ki},GN
ki-is-mar{ki},GN
du6-lugal-pa-e3,GN
zi-dar{ki},GN
sa-bu-um,GN
na-esz-du3-a,GN
ib2-tur3{ki}-a,GN
sza-ri2-it-hu-um-ma{ki},GN
u2-munus{ki},GN
iri-sa12-rig7{ki}-x,GN
ka-dingir{ki},GN
gi4-zabalax(|UNUG.MUSZ3.ZA|){ki},GN
gu-ni-na{ki},GN
ba-a-bi2{ki},GN
{d}da-lagasz{ki},GN
ga:esz8{sar}{ki},GN
ur-bi-lum,GN
sza-szu2-ru{ki},GN
ugnim{ki},GN
gu2-ab-ba{ki},GN
a-dam-dun{ki},GN
lu-lu-bi,GN
szu-na-mu-gi4{ki},GN
am3-ri2-ma-ka{ki},GN
|PU3.SZA|-{d}da-gan{ki},GN
iri-sag-rig7,GN
en-ki-nu-nir{ki},GN
a-bu-la-ad{ki},GN
ni-HI{ki},GN
isz-su{ki},GN
zi-nam{ki},GN
pu-us2{ki},GN
ti-im-szi-nu-nu{ki},GN
ambar-mah{ki},GN
nu-{ki}kiri6,GN
masz-gan2-szabra{ki},GN
erisz2{ki},GN
szabra-ke4-ne,GN
szu-ah{ki},GN
du-du-ul{ki},GN
zabala3{ki}-ka,GN
A-pi4-sal4{ki},GN
bara2-sig-ga{ki}-a,GN
gir4-u,GN
zabalam{ki},GN
sza-ni-da-at{ki},GN
sirara6,GN
a-ri2-bi-um{ki},GN
su-bir4{ki},GN
ku-li-uri5{ki}-ma,GN
ma-ar-da-ma-na{ki},GN
da-al-tum{ki}-me-esz2,GN
sag-ub5{ki},GN
sze-sze-il{ki},GN
masz-GAN2-szar-ru-um{ki},GN
a-pi4-sal4{ki}-ka,GN
ga-ab-szu-um{ki},GN
u3-ul{ki},GN
a-ga-de3{ki}-ka,GN
a-gi-ze2{ki},GN
dal-ba-at{ki},GN
a-ga-de3{ki}-a,GN
igi-gal2-x-x{ki},GN
|BAD3.AN|{ki}-ke4-ne,GN
zi2-da-num2{ki},GN
bu-sa{ki},GN
urua{ki},GN
hu(RI)-u4-ri{ki},GN
dab{ki},GN
HA-x-u2-du{ki},GN
i3-si,GN
nam-su{ki},GN
{d}lugal-KA-sahar{ki},GN
gu-sa-za-um{ki},GN
sza-mi{ki},GN
ni-uszur3{ki},GN
ka-{d}nanna-gu2-gal,GN
gesz-gi-a,GN
{d}nin-e2-gibil4-le{ki},GN
u2-lum{ki},GN
ta2-szi-il{ki}-me-esz2,GN
kar2-har-ra{ki},GN
nina-na,GN
ba-bil2-la,GN
elam-mu,GN
ga-esz5{ki},GN
si-ma-num2,GN
ir-ha-an{ki},GN
ga-la-tum{ki}-me-esz2,GN
i-ni-in-na{ki},GN
i3-si-in{ki},GN
e2-uru11{ki},GN
li-bi{ki},GN
kiri6{ki},GN
gu-sza{ki},GN
gesz-x-ta{ki},GN
kar-{d}szu-{d}suen,GN
er3-GAN-gir2-su{ki},GN
mar-za{ki},GN
ib2-tur3{ki}-sze3(SI),GN
sa-bu-um{ki}-x,GN
bad3-an{ki},GN
|KI.KAL|,GN
kar-kar{ki}-ka,GN
ki-nu-nir{ki}-ki,GN
da-szi-bi2-we{ki},GN
szubur{ki},GN
ba-szim-e{ki}-ka,GN
an-sza-an,GN
{d}na-na-tum-ma,GN
a-e-bar-ka,GN
ul-luh-uri5{ki},GN
gir13-gesz,GN
szuruppak{ki}-x,GN
ka-ma-ri2{ki},GN
ma2-gan-na,GN
iri-ni-kisz{ki},GN
ki-es3-sa{ki},GN
bad3-an{ki}-a,GN
si-mu-ur4-ru-um,GN
kar-zi-da-ka,GN
a-za-ru-um-a-ur3-ra{ki},GN
si-mu-ur4-ru-um{ki},GN
umma{ki}-ka-x,GN
ni-ra:da-asz-we{ki},GN
tum-ma-al-la,GN
sze-ku-bu{ki},GN
masz-gan2-szar-um{ki}-ma,GN
gu2-ab-ba-ke4-ne,GN
szimaszki-sin2{ki},GN
gibil-kin{ki},GN
am-na-nu-um,GN
hi-bi2-la-at{ki},GN
szuruppak{ki}-ba,GN
ga-esz5{ki}-ka,GN
lagasz{ki},GN
kar-lagar-kal-x-zi-x-x,GN
i3-szum,GN
da-ba{ki},GN
dilmun-gin7,GN
gar-sza-na{ki}-ka,GN
e2-te-na,GN
ebih2{ki},GN
si-mu-ur4-ru{ki},GN
i-mun{ki},GN
SZID-gesz,GN
ki-ma-da-sal4-la{ki}-a,GN
hu-uh2-ri{ki},GN
mar2-da{ki}-ka-kam,GN
sa-bu-um{ki}-ma,GN
e2-lu2-bu{ki},GN
gag-gu-la-tum{ki},GN
ug3-sa6-ga,GN
ka-sahar-ra,GN
ur-kisz{ki},GN
gar3-szum{ki},GN
masz-e-pa3-da{ki},GN
DU-a,GN
i3-szum{ki},GN
ma2-ad-da-ga{ki},GN
marad2,GN
ka-sahar-ra-ka,GN
szuruppak{ki},GN
hu-uh2,GN
hu-uh2-nu-ru{ki},GN
bu-uh2-zi-gar3{ki},GN
hu-rim3{ki}-ka,GN
an-za-gar3{ki},GN
e2-nam-zu,GN
ki-uri,GN
ma-ag-ra-tum,GN
gu-uh2-zi-ga{ki},GN
ki-ma,GN
ki-en-gi,GN
{d}nin-da-lagasz{ki},GN
e2-sag-da-na-nibru{ki}-ka,GN
e2-sag(DA)-da-na-ka,GN
gir2-nun{ki},GN
da-si-il{ki},GN
erisz{ki},GN
gir2-su{ki}-ki,GN
PAP-SZID,GN
PI-il{ki},GN
i3-si-in,GN
gi-gi-bi-ni-um{ki},GN
esz3{ki},GN
adab{ki},GN
an-ud-kib-nun{ki},GN
hirinx(KWU318)-na,GN
eb-la{ki},GN
gu2-du8-a{ki},GN
gir13-gesz{ki},GN
ki-nu-nir{ki}-nina{ki},GN
asz2-nun-na{ki},GN
gab2-ba{ki},GN
{gesz}kiri6-mah{ki}-bi,GN
hu-rim3{ki}-ma,GN
sza-zi-bi{ki},GN
sag-da-na-ka,GN
ki-es3-sa2,GN
a-szur4{ki},GN
ku3-nun-na,GN
za-ab-sza-li{ki}-ke4-ne,GN
unug{ki}-ga,GN
ma-ah-li{ki},GN
gir2-su{ki}-ka,GN
lu2-x{ki},GN
szi-ma-nu-um{ki},GN
sze-ti-ir-sza{ki},GN
{d}nin-sag-ub3{ki},GN
in-szi{ki},GN
|KI.KAL|{ki},GN
kuara2{ki},GN
sa12-rig7{ki},GN
mar-da{ki},GN
uru-a,GN
iri-ku3,GN
zabala6{ki},GN
zabalam6{ki},GN
ha-bu-ra{ki},GN
{d}nin-zabala5{ki},GN
ia3-ab-ra-ad{ki},GN
gir2-su-ke4-ne,GN
u3-sur,GN
me-luh-ha-a,GN
gar-me-du-du{ki},GN
zi-mu-dar,GN
{d}nin-nag-su{ki},GN
AB-...{ki},GN
a-asz7-da,GN
sze-me-ha{ki},GN
kar-da{ki},GN
ra-szi{ki},GN
kisz{ki}-ir,GN
tab-la-la{ki},GN
ur2-bi-an-na{ki},GN
a-e-bar-ra-ka,GN
gu2-ab-ba,GN
ur-bi2-lum,GN
zaq-tum{ki},GN
ki-an{ki},GN
A:HA{ki},GN
ma-az-SUHUR-a{ki},GN
bi2-la{ki},GN
tusz-da-sal4-la{ki},GN
ib2-tur3,GN
pa-szim,GN
ki-masz{ki}-a,GN
{gesz}tir-ba-bil2-la{ki},GN
gir2-su{ki}-x,GN
mar-ha-szi{ki}-ka,GN
|PU3.SZA|-{d}da-gan,GN
uri5{ki}-x,GN
uri5{ki}{ki},GN
kar-da-du3,GN
u3-suh5{ki},GN
ku-lu-um{ki},GN
umma(|GESZ.GEME2|){ki},GN
u3-dag-ga{ki},GN
gar-sza-na{ki},GN
lagasz{ki}-a,GN
karx(GAN2)-har{ki},GN
sa-x,GN
du6-ku3-ga,GN
bu-us2,GN
si-ma-num{ki},GN
u8-udu-a{ki},GN
gesz-da{ki}-na,GN
szi-ik-ri2-szum{ki},GN
iri-sa12-rig8{ki},GN
za-ab-sza-lu,GN
uri5{ki}-ma-dam,GN
wa-da-al-tum,GN
|PU3.SZA|-isz-{d}da-gan{ki},GN
gir2-su{ki}-ke4-ne-ka,GN
du6-sir2,GN
hul-ti{ki},GN
e2-GIR3-ka,GN
sza-ri2-ib-hu-um-ma{ki},GN
ki-uri,GN
an-sza-an{ki},GN
gu-ti-um{ki},GN
ia3-bi2-lu{ki},GN
TUM{ki},GN
u2-za-ar-i-mi-an{ki},GN
pa5-enku{ki},GN
ti-ik-ti-he2{ki},GN
e2-ga-ba{ki},GN
badx{ki}-kam,GN
zabalam5{ki},GN
unu-ga,GN
zabala{ki}-a,GN
kar-du10-ge,GN
ama-|KI.KAL|{ki},GN
szi-ma-ni-um{ki},GN
mar{ar}-ha-szi{ki},GN
uri5-ma{ki},GN
si-NI-ru-um{ki},GN
a-wa-an{ki}-ka,GN
dub-ru-um{ki},GN
unug{ki}-a,GN
iri-bar-tab-ba{ki},GN
u-pi5,GN
a-e-bar-ra{ki},GN
szuruppak(|LAM.SU.RU|){ki},GN
ma-ar-da-ma-an{ki},GN
gesz-gi-gal{ki},GN
uri5{ki}-ma-ke4-ne,GN
KA-ma-ri2{ki},GN
adab{ki}-ne,GN
zabalam6{ki}-a,GN
u8-lu{ki},GN
bu-li{ki},GN
ti-ma-tum2{ki},GN
zi-da-ah-re{ki}-ke4-ne,GN
szi-mu-ru-um{ki},GN
sza-asz-szu2-ru-um{ki},GN
ti-ki-ti-hu-um{ki},GN
u4-x{ki},GN
lagas{ki}-a,GN
isin2{si}{ki}-ke4-ne,GN
zi-li{ki},GN
GIR-ki-nam{ki},GN
ni-nu-a{ki},GN
ki-uri-ka,GN
isin2{sim}{ki},GN
ur-gu-ha-lam{ki},GN
an-sza,GN
u2-za-ar-ba-ba-ti{ki},GN
e2-da-na-ka,GN
numun-unu{ki},GN
ga-ar3{ki},GN
gir13-gesz{ki}-ka,GN
adab{ki}-ba,GN
elam-e-ne,GN
isin2{si}{ki}-na,GN
{d}szu-{d}suen-i3-du10{ki},GN
szu-ir-hu-um{ki},GN
gir13-gesz{ki}-ke4-ne,GN
iri-la{ki},GN
elam-bi,GN
ki-gam-ma-ka,GN
gu2-de3-na,GN
hu-ti,GN
babila-ma{ki},GN
a-pi2-sal4{ki},GN
PA-gur{ki},GN
iri-sa12-rig7{ki},GN
dingir-su-ra-bi2{ki},GN
si-ma-num2{ki},GN
e2-kikken-gibil-ta,GN
za-ab-sza-li,GN
tum-ma-al{ki}-ka,GN
si2-mu-dar{ki}-ka,GN
kiszib3,GN
hu-nu-ri{ki},GN
uruda{ki},GN
mar-tu-munus,GN
A,GN
nibru{ki}-a,GN
ur-zabala6{ki},GN
szi-ma-asz{ki},GN
ha-szu-a-num2{ki},GN
DU-da,GN
du6-sa-bar-ra{ki},GN
ki-masz{ki}-da,GN
uri2{ki}-ma-ge,GN
u2-za-ar-i-mi-lum,GN
si-ma-num2{um}{ki},GN
zabalam6{ki}-la,GN
{d}szul-gi-he2-gal2{ki},GN
ba-szi-mi,GN
isin2{si}-na{ki}-ke4-ne,GN
lu-lu-bu-...,GN
