CLDI	PUB	loc	no	raw_translit	normalized_translit	annotations	transli_entities	entities
P499212	01.IS.62	@reverse	3	mu sza-asz-ru{ki} ba-hul	mu ca-ac-ru{ki} ba-hul		mu(year) sza-asz-ru{ki} ba-hul	sza-asz-ru{ki}
P142761	AAICAB 1/1, pl. 048, 1911-488	@reverse	5	mu e2 puzur4-isz-da-gan ba-du3	mu e2 puzur4-ic-da-gan ba-du3		mu(year) e2 puzur4-isz-da-gan ba-du3	ba-du3
P142785	AAICAB 1/1, pl. 053, 1919-11a-b	@column 2	3	ARAD2-zu	ARAD2-zu			
P142787	AAICAB 1/1, pl. 054, 1923-412	@left	1	1(u) 9(disz) udu 1(disz) masz-da3	1(u) 9(dic) udu 1(dic) mac-da3			
P142788	AAICAB 1/1, pl. 054, 1923-415	@left	1	u4 2(u)-kam	u4 2(u)-kam			
P142789	AAICAB 1/1, pl. 054, 1923-419	@left	1	[...] 4(disz) udu	[...] 4(dic) udu			
P142790	AAICAB 1/1, pl. 054, 1923-420	@left	1	2(u) 4(disz)	2(u) 4(dic)			
P142791	AAICAB 1/1, pl. 055, 1923-421	@left	1	2(u) 6(disz) [...]	2(u) 6(dic) [...]			
P142793	AAICAB 1/1, pl. 055, 1923-425	@left	1	1(gesz'u) 3(gesz2)	1(gec'u) 3(gec2)			
P142794	AAICAB 1/1, pl. 055, 1923-426	@reverse	8	mu si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul	mu si-mu-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(dic)-kam-ac ba-hul		mu(year) si-mu(year)-ru-um{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul	
P142799	AAICAB 1/1, pl. 056, 1923-431	@reverse	8	mu ur-bi2-lum{ki} ba-hul	mu ur-bi2-lum{ki} ba-hul		mu(year) ur-bi2-lum{ki} ba-hul	ur-bi2-lum{ki}
P142803	AAICAB 1/1, pl. 057, 1924-0473	@seal 1	1	7(gesz2) 2(u) udu	7(gec2) 2(u) udu			
P142805	AAICAB 1/1, pl. 057, 1924-0516	@left	1	u4? 2(u) 3(disz)-kam	u4? 2(u) 3(dic)-kam			
P142807	AAICAB 1/1, pl. 058, 1924-0530	@left	1	2(disz) gu4 2(u) 2(disz) udu	2(dic) gu4 2(u) 2(dic) udu			
P142809	AAICAB 1/1, pl. 059, 1924-0536	@left	1	3(u) 1(disz)	3(u) 1(dic)			
P142810	AAICAB 1/1, pl. 059, 1924-0546	@left	1	4(disz) gu4	4(dic) gu4			
P142811	AAICAB 1/1, pl. 059, 1924-0547	@left	1	5(disz)	5(dic)			
P142812	AAICAB 1/1, pl. 059, 1924-0553	@reverse	6	mu gu-za {d}en-lil2-la2 ba-dim2	mu gu-za {d}en-lil2-la2 ba-dim2		mu(year) gu-za {d}en-lil2-la2 ba-dim2	ba-dim2
P142813	AAICAB 1/1, pl. 059, 1924-0555	@left	1	2(disz)	2(dic)			
