tablet_num	relation_type	subject	object	providence	period	dates_referenced	subject_tag	object_tag
P200579	person:delivers_animal  	ur-{d}suen	sila4				PN	ANIM
P107058	person:has_son	sukkal	nu-banda3				PN_1	PN_2
P109574	person:receives_animal  	gukkal	ur-nigar{gar}				ANIM	PN
P100337	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P129546	person:receives_animal  	masz2	na-gada				ANIM	PN
P125067	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P145528	person:delivers_animal  	ur-nigar{gar}	masz2				PN	ANIM
P122380	person:receives_animal  	masz2	ur-{d}suen				ANIM	PN
P123444	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P113614	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P126037	person:delivers_animal  	szabra	sila4				PN	ANIM
P126488	person:delivers_animal  	sipa	sila4				PN	ANIM
P114037	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P143773	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P108007	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P290720	person:has_son	szesz-kal-la	lugal-ma2-gur8-re				PN_1	PN_2
P129124	person:has_son	szesz-kal-la	lugal-ma2-gur8-re				PN_1	PN_2
P118596	person:receives_animal  	masz-da3	ur-nigar{gar}				ANIM	PN
P124431	person:delivers_animal  	nir-i3-da-gal2	masz-da3				PN	ANIM
P303570	person:receives_animal  	gukkal	ur-nigar{gar}				ANIM	PN
P120402	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P104506	person:receives_animal  	masz2	szesz-kal-la				ANIM	PN
P124476	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P136070	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P106313	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P113703	person:delivers_animal  	szabra	masz2				PN	ANIM
P101529	person:has_son	szesz-kal-la	lugal-ma2-gur8-re				PN_1	PN_2
P123520	person:delivers_animal  	ur-{d}suen	masz2				PN	ANIM
P104069	person:delivers_animal  	lugal-nir-gal2	masz-da3				PN	ANIM
P107990	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P136059	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P133308	person:receives_animal  	gu4	szabra				ANIM	PN
P106375	person:delivers_animal  	lu2-bala-sa6-ga	sila4				PN	ANIM
P114071	person:receives_animal  	masz-da3	ur-nigar{gar}				ANIM	PN
P320757	person:receives_animal  	az	ur-nigar{gar}				ANIM	PN
P129622	person:has_son	sukkal	nu-banda3				PN_1	PN_2
P107581	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P126808	person:receives_animal  	az	ur-nigar{gar}				ANIM	PN
P133938	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P131843	person:delivers_animal  	szagina	sila4				PN	ANIM
P122666	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P113173	person:delivers_animal  	ur-nigar{gar}	sila4				PN	ANIM
P104931	person:receives_animal  	masz2	ra2-gaba				ANIM	PN
P117527	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P124533	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P303539	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P104777	person:delivers_animal  	nu-banda3	masz2				PN	ANIM
P109523	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P124646	person:delivers_animal  	sanga	sila4				PN	ANIM
P105843	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P122140	person:is_king	en					PN	PN
P142631	person:delivers_animal  	muszen-du3	sila4				PN	ANIM
P142420	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P131780	person:has_son	ur-{d}suen	um-mi-a				PN_1	PN_2
P201732	person:delivers_animal  	na-gada	masz2				PN	ANIM
P110086	person:has_son	sukkal	nu-banda3				PN_1	PN_2
P109447	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P208739	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P135584	person:has_son	ur-{d}en-lil2-la2	szesz-kal-la				PN_1	PN_2
P105771	person:has_son	szabra	szesz-kal-la				PN_1	PN_2
P136281	person:receives_animal  	masz2	szabra				ANIM	PN
P119406	person:has_son	szesz-kal-la	lugal-ma2-gur8-re				PN_1	PN_2
P118049	person:has_son	szesz-kal-la	lugal-ma2-gur8-re				PN_1	PN_2
P340247	person:has_son	szesz-kal-la	lugal-ma2-gur8-re				PN_1	PN_2
P116573	person:has_son	sanga	ARAD2-mu				PN_1	PN_2
P137580	person:receives_animal  	dur3	nu-banda3				ANIM	PN
P123489	person:delivers_animal  	ARAD2-mu	sila4				PN	ANIM
P117594	person:delivers_animal  	szar-ru-um-i3-li2	sila4				PN	ANIM
P132001	person:delivers_animal  	lu2-{d}nanna	masz-da3				PN	ANIM
P292337	person:has_son	szesz-kal-la	lugal-ma2-gur8-re				PN_1	PN_2
P136093	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P211342	person:delivers_animal  	ur-{d}en-lil2-la2	sila4				PN	ANIM
P390996	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P125864	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P125864	person_delivers:person_recieves	e2-a-i3-li2	zabar-dab5				PN_1	PN_2
P107699	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P141715	person:has_son	szesz-kal-la	ur-{d}en-lil2-la2				PN_1	PN_2
P100214	person:delivers_animal  	ARAD2-mu	sila4				PN	ANIM
P122565	person:delivers_animal  	lu2-{d}nanna	sila4				PN	ANIM
P118602	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P110159	person:is_king	nu-banda3					PN	PN
P142879	person:has_son	sanga	sanga				PN_1	PN_2
P123401	person:delivers_animal  	e2-a-i3-li2	masz2				PN	ANIM
P209463	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P125609	person:delivers_animal  	muhaldim	sila4				PN	ANIM
P303584	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P341117	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P339843	person:has_son	szesz-kal-la	ARAD2-mu				PN_1	PN_2
P142193	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P142088	person:receives_animal  	masz2	szesz-kal-la				ANIM	PN
P123326	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P101416	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P126706	person:delivers_animal  	ARAD2-mu	sila4				PN	ANIM
P109516	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P119835	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P145668	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P118573	person:delivers_animal  	ARAD2-mu	sila4				PN	ANIM
P107727	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
