tablet_num	relation_type	subject	object	providence	period	dates_referenced	subject_tag	object_tag
P020095	person:has_son	gala	gala				PN_1	PN_2
P100149	person:has_son	sukkal	nu-banda3				PN_1	PN_2
P100189	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P100214	person:delivers_animal  	ARAD2-mu	sila4				PN	ANIM
P100265	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P100339	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P100379	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P100695	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P100723	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P100972	person:delivers_animal  	e2-a-i3-li2	masz-da3				PN	ANIM
P101317	person:receives_animal  	sila4	nu-banda3				ANIM	PN
P101339	person:delivers_animal  	nu-banda3	sila4				PN	ANIM
P101413	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P101445	person:delivers_animal  	e2-a-i3-li2	sila4				PN	ANIM
P101529	person:has_son	szesz-kal-la	lugal-ma2-gur8-re				PN_1	PN_2
P101674	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P102279	person:has_son	ARAD2-mu	ur-nigar{gar}				PN_1	PN_2
P102343	person:delivers_animal  	e2-a-i3-li2	masz-da3				PN	ANIM
P102446	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P102526	person:delivers_animal  	di-ku5	masz2				PN	ANIM
P102699	person:receives_animal  	masz-da3	ur-nigar{gar}				ANIM	PN
P102900	person:delivers_animal  	nar	sila4				PN	ANIM
P103346	person:receives_animal  	gukkal	ur-nigar{gar}				ANIM	PN
P103463	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P103475	person:receives_animal  	masz-da3	ur-nigar{gar}				ANIM	PN
P103788	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P103859	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P103907	person:receives_animal  	masz2	sipa				ANIM	PN
P104069	person:delivers_animal  	lugal-nir-gal2	masz-da3				PN	ANIM
P104212	person:receives_animal  	sila4	na-gada				ANIM	PN
P104412	person:delivers_animal  	nin-dingir	sila4				PN	ANIM
P104417	person:delivers_animal  	nu-banda3	sila4				PN	ANIM
P104436	person:delivers_animal  	ARAD2-mu	sila4				PN	ANIM
P104476	person:has_son	szesz-kal-la	ur-nigar				PN_1	PN_2
P104506	person:receives_animal  	masz2	szesz-kal-la				ANIM	PN
P104541	person:receives_animal  	masz2	ARAD2-mu				ANIM	PN
P104597	person:receives_animal  	masz2	nin-dingir				ANIM	PN
P104610	person:receives_animal  	masz2	aga3-us2				ANIM	PN
P104761	person:delivers_animal  	szu-ru-usz-ki-in	sila4				PN	ANIM
P104777	person:delivers_animal  	nu-banda3	masz2				PN	ANIM
P104931	person:receives_animal  	masz2	ra2-gaba				ANIM	PN
P104999	person:has_son	engar	engar				PN_1	PN_2
P105105	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P105140	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P105242	person:receives_animal  	masz2	szesz-kal-la				ANIM	PN
P105815	person:receives_animal  	masz-da3	ur-nigar{gar}				ANIM	PN
P105833	person:is_king	zabar-dab5					PN	PN
P105843	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P105991	person:delivers_animal  	szabra	sila4				PN	ANIM
P106101	person:delivers_animal  	di-ku5	sila4				PN	ANIM
P106117	person:delivers_animal  	ARAD2-mu	sila4				PN	ANIM
P106174	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P106176	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P106205	person:receives_animal  	masz2	na-gada				ANIM	PN
P106313	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P106318	person:is_king	en					PN	PN
P106328	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P106375	person:delivers_animal  	lu2-bala-sa6-ga	sila4				PN	ANIM
P106412	person:delivers_animal  	nir-i3-da-gal2	masz-da3				PN	ANIM
P106857	person_delivers:person_recieves	{ansze}kunga2	lugal				PN_1	PN_2
P106953	person:has_son	lu2-{d}nanna	nu-banda3				PN_1	PN_2
P107044	person:has_son	sukkal	nu-banda3				PN_1	PN_2
P107058	person:has_son	sukkal	nu-banda3				PN_1	PN_2
P107575	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P107590	person:delivers_animal  	sukkal	sila4				PN	ANIM
P107591	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P107630	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P107635	person:delivers_animal  	nu-banda3	sila4				PN	ANIM
P107647	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P107655	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P107672	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P107688	person:delivers_animal  	lu2-{d}nanna	gu4				PN	ANIM
P107691	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P107698	person:delivers_animal  	e2-a-i3-li2	sila4				PN	ANIM
P107699	person:delivers_animal  	zabar-dab5	sila4				PN	ANIM
P107709	person:receives_animal  	gukkal	ur-nigar{gar}				ANIM	PN
P107712	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P107725	person:delivers_animal  	e2-a-i3-li2	sila4				PN	ANIM
P107732	person:receives_animal  	gukkal	ur-nigar{gar}				ANIM	PN
P107744	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P107758	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P107764	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P107779	person:receives_animal  	gukkal	ur-nigar{gar}				ANIM	PN
P107782	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P107998	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P108004	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P108011	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P108012	person:delivers_animal  	sanga	sila4				PN	ANIM
P108014	person:receives_animal  	masz2	ur-nigar{gar}				ANIM	PN
P108132	person:has_son	szesz-kal-la	ur-nigar{gar}				PN_1	PN_2
P108173	person:has_son	ur-{d}suen	szesz-kal-la				PN_1	PN_2
P108245	person:has_son	gala	szesz-kal-la				PN_1	PN_2
P108481	person:receives_animal  	gu4	kuruszda				ANIM	PN
P108671	person:has_son	lu2-{d}nanna	ur-nigar{gar}				PN_1	PN_2
P108716	person:has_son	szesz-kal-la	lugal-ma2-gur8-re				PN_1	PN_2
P108731	person:has_son	szitim	szesz-kal-la				PN_1	PN_2
P109458	person:has_son	engar	engar				PN_1	PN_2
P109505	person:delivers_animal  	zabar-dab5	masz-da3				PN	ANIM
P109512	person:receives_animal  	sila4	ur-nigar{gar}				ANIM	PN
P109515	person:receives_animal  	masz-da3	ur-nigar{gar}				ANIM	PN
P109520	person:receives_animal  	masz-da3	ur-nigar{gar}				ANIM	PN
