Text,NER,Translation
sila4,N,lamb
udu-niga,N,barely-fed sheep
masz2,N,kid
masz2-gal niga,N,barely-fed goat
gu4,N,common ox
masz-da3,N,gazelle
lulim,N,deer
szeg9-bar,N,fallow deer
ansze-edin-na,N,onager
dur3,N,male donkey
eme6,N,female donkey
{ansze}kunga2,N,mule
{ansze}si2-si2,N,horse
az,N,bear
ha-bu-um,N,habum-animal
am,N,wild ox
gu4 gun3-a,N,spotted ox
udu a-lum,N,long-fleeced sheep
gukkal,N,fat-tailed sheep
udu LU2-SU,N,Šimaškian sheep
udu lu2-u18-um,N,Lullubean sheep
udu hur-sag,N,wild sheep
udu babbar,N,white sheep
udu babbar2,N,white sheep
udu gun3-a,N,spotted sheep
masz2-gal LU2-SU,N,Šimaškian goat
masz2-gal a-dara4,N,wild goat
masz2-gal babbar2,N,white goat
masz2-gal su4,N,red goat
masz2-gal gun3-a,N,spotted goat
