Text,NER,Error
a-zu,FOR,
ab-ba-iri,FOR,
ab2-rig,FOR,
aga3-us2,FOR,
dam-gar3,FOR,
di-ku5,FOR,
egi-zi,FOR,
en,FOR,
engar,FOR,
gala,FOR,
gala-mah,FOR,
gu-za-la2,FOR,
gudu4,FOR,
ha-za-num2,FOR,
iszib,FOR,
ka-guru7,FOR,
{lu2}kasz4,FOR,Y
ku3-gal2,FOR,
kuruszda,FOR,
kusz7,FOR,
lu2kiri6-mah,FOR,
lu2-mah,FOR,
lukur,FOR,
masz-en-gag,FOR,
muhaldim,FOR,
muszen-du3,FOR,
na-gada,FOR,
nar,FOR,
nin-dingir,FOR,
nu-banda3,FOR,
ra2-gaba,FOR,
sagi,FOR,
sanga,FOR,
sipa,FOR,
sukkal,FOR,
sza13-dub-ba,FOR,
szabra,FOR,
szagina,FOR,
szandana,FOR,
szitim,FOR,
szu-ku6,FOR,
u2-du-lu,FOR,
u3-kul,FOR,
u4-da-tusz,FOR,
ugula-gisz2-da,FOR,
ugula-ug3-IL2,FOR,
ugula-usz-bar,FOR,
um-mi-a,FOR,
zabar-dab5,FOR,
